Дата;PM2.5;PM10;CO;SO2;NO2
06.04;0,00658;0,01572;0,054;0,00105;0,0276
13.04;0,01631;0,05346;0,318;0,0013;0,0579
18.04;0,005845;0,01818;0,063;0,00025;0,0118
19.04;0,006125;0,03246;0,066;0,00055;0,0216
20.04;0,009625;0,04416;0,501;0,0008;0,0396
21.04;0,009065;0,00342;0,435;0,0021;0,0275
22.04;0,002975;0,01128;0,108;0,00065;0,0151
23.04;0,00616;0,0291;0,429;0,00225;0,0263
24.04;0,006125;0,01986;0,585;0,0025;0,0419
25.04;0,001575;0,00174;0,261;0,00085;0,0154
26.04;0,00217;0,00804;0,183;0,0007;0,0113
28.04;0,0049;0,01572;0,291;0,001;0,0157
29.04;0,006685;0,01416;0,414;0,00235;0,0266
30.04;0,00819;0,01728;0,183;0,00385;0,0245
03.05;0,016485;0,03642;0,414;0,0041;0,0583
04.05;0,008505;0,0156;0,009;0,0057;0,013
05.05;0,002975;0,00942;0,027;0,00395;0,0136
06.05;0,00525;0,01962;0,204;0,0003;0,0264
07.05;0,006965;0,02352;0,171;0,0001;0,0303
08.05;0,00546;0,01788;0,171;0,00095;0,0168
09.05;0,005985;0,02742;0,273;0,0015;0,0131
10.05;0,01057;0,03054;0,27;0,0024;0,0295
11.05;0,01386;0,03516;0,123;0,0027;0,0306
12.05;0,015575;0,03096;0,33;0,0027;0,0217
13.05;0,009275;0,01698;0,141;0,00175;0,0192
14.05;0,006965;0,01374;0,282;0,00045;0,0275
15.05;0,012215;0,01908;0,066;0,001;0,0296
16.05;0,013965;0,0219;0,255;0,00125;0,0327
17.05;0,00735;0,02076;0,006;0,0012;0,0297
18.05;0,01477;0,03906;0,6;0,00165;0,0291
19.05;0,017815;0,03156;0,258;0,00195;0,0273
20.05;0,01302;0,02088;0,24;0,0019;0,0244
21.05;0,017885;0,0228;0,417;0,00375;0,0225
22.05;0,007945;0,01332;0,06;0,0024;0,0291
23.05;0,006685;0,01164;0,018;0,00205;0,0233
24.05;0,00378;0,01434;0,228;0,0007;0,194
25.05;0,00385;0,0165;0,12;0,0001;0,2
26.05;0,00427;0,00648;0,099;0,00045;0,0194
27.05;0,00301;0,00414;0,102;0;0,0106
28.05;0,00329;0,00444;0,264;0,0005;0,0153
29.05;0,0049;0,00696;0,114;0,00045;0,0102
30.05;0,008365;0,01482;0,117;0,00125;0,0189
31.05;0,00861;0,01722;0,42;0,00185;0,023
01.06;0,011165;22,56;0,399;0,0041;0,0267
02.06;0,00693;0,01434;0,219;0,00265;0,0177
03.06;0,012495;0,033;0,381;0,00295;0,0343
04.06;0,014385;0,03498;0,129;0,0017;0,0362
05.06;0,014805;0,04482;0,222;0,0018;0,0352
06.06;0,00399;0,00702;0,114;0,00135;0,0078
07.06;0,008715;0,0195;0;0,0013;0,0293
08.06;0,01225;0,02478;0,243;0,00185;0,0293
09.06;0,007105;12,66;0,099;0,0019;0,0112
10.06;0,005565;0,01392;0,216;0,00125;0,0154
11.06;0,0091;0,01656;0,288;0,0016;0,0098
12.06;0,00924;0,01272;0,186;0,0021;0,012
13.06;0,00427;0,0087;0,015;0,0006;0,0106
14.06;0,00784;0,01314;0,216;0,0014;0,021
15.06;0,00861;0,01272;0,114;0,00195;0,0171
16.06;0,004375;0,00528;0,402;0,0009;0,0082
17.06;0,006335;0,0036;0,102;0,0012;0,0075
18.06;0,007245;0,01362;0,06;0,00345;0,0124
19.06;0,00658;0,01164;0,288;0,0005;0,023
20.06;0,009065;0,0162;0,291;0,0006;0,0171
21.06;0,00812;0,01428;0,222;0,0003;0,0112
22.06;0,003395;0,01026;0,006;0,00023;0,0095
23.06;0,004375;0,00672;0,546;0,00035;0,017
24.06;0,005705;0,00948;0,051;0,001;0,0223
